
# Surface 0 of 1 surfaces

# Curve title: ""numerics/figures/profile1-1um-gnu.dat" using 1:2:3"
# IsoCurve 0, 65536 points
# x y z type
6.2352900e-01 0.0000000e+00 4.0908900e+00 4.09089 i
6.2745100e-01 0.0000000e+00 4.1401100e+00 4.14011 i
6.3137300e-01 0.0000000e+00 4.0971000e+00 4.0971 i
6.3529400e-01 0.0000000e+00 4.1605000e+00 4.1605 i
6.3921600e-01 0.0000000e+00 4.2168100e+00 4.21681 i
6.4313700e-01 0.0000000e+00 4.3298700e+00 4.32987 i
6.4705900e-01 0.0000000e+00 4.4358300e+00 4.43583 i
6.5098000e-01 0.0000000e+00 4.4282900e+00 4.42829 i
6.5490200e-01 0.0000000e+00 4.5768200e+00 4.57682 i
6.5882400e-01 0.0000000e+00 4.5905600e+00 4.59056 i
6.6274500e-01 0.0000000e+00 4.5972100e+00 4.59721 i
6.6666700e-01 0.0000000e+00 4.5045500e+00 4.50455 i
6.7058800e-01 0.0000000e+00 4.4402600e+00 4.44026 i
6.7451000e-01 0.0000000e+00 4.3972500e+00 4.39725 i
6.7843100e-01 0.0000000e+00 4.2549300e+00 4.25493 i
6.8235300e-01 0.0000000e+00 4.2615800e+00 4.26158 i
6.8627500e-01 0.0000000e+00 4.2398600e+00 4.23986 i
6.9019600e-01 0.0000000e+00 4.1613800e+00 4.16138 i
6.9411800e-01 0.0000000e+00 4.1751200e+00 4.17512 i
6.9803900e-01 0.0000000e+00 4.2101500e+00 4.21015 i
7.0196100e-01 0.0000000e+00 4.3161100e+00 4.31611 i
7.0588200e-01 0.0000000e+00 4.3156700e+00 4.31567 i
7.0980400e-01 0.0000000e+00 4.3506900e+00 4.35069 i
7.1372500e-01 0.0000000e+00 4.1658100e+00 4.16581 i
7.1764700e-01 0.0000000e+00 4.1724600e+00 4.17246 i
7.2156900e-01 0.0000000e+00 4.1862000e+00 4.1862 i
7.2549000e-01 0.0000000e+00 4.1786700e+00 4.17867 i
7.2941200e-01 0.0000000e+00 4.1356600e+00 4.13566 i
7.3333300e-01 0.0000000e+00 4.1210300e+00 4.12103 i
7.3725500e-01 0.0000000e+00 4.1702400e+00 4.17024 i
7.4117600e-01 0.0000000e+00 4.1485100e+00 4.14851 i
7.4509800e-01 0.0000000e+00 4.1764500e+00 4.17645 i
7.4902000e-01 0.0000000e+00 4.1476300e+00 4.14763 i
7.5294100e-01 0.0000000e+00 4.2181200e+00 4.21812 i
7.5686300e-01 0.0000000e+00 4.2886200e+00 4.28862 i
7.6078400e-01 0.0000000e+00 4.3165500e+00 4.31655 i
7.6470600e-01 0.0000000e+00 4.3799500e+00 4.37995 i
7.6862700e-01 0.0000000e+00 4.2660000e+00 4.266 i
7.7254900e-01 0.0000000e+00 4.2442800e+00 4.24428 i
7.7647100e-01 0.0000000e+00 4.2722100e+00 4.27221 i
7.8039200e-01 0.0000000e+00 4.2362900e+00 4.23629 i
7.8431400e-01 0.0000000e+00 4.2784100e+00 4.27841 i
7.8823500e-01 0.0000000e+00 4.2921600e+00 4.29216 i
7.9215700e-01 0.0000000e+00 4.1072700e+00 4.10727 i
7.9607800e-01 0.0000000e+00 4.1423000e+00 4.1423 i
8.0000000e-01 0.0000000e+00 4.1915100e+00 4.19151 i
8.0392200e-01 0.0000000e+00 4.2265400e+00 4.22654 i
8.0784300e-01 0.0000000e+00 4.1551500e+00 4.15515 i
8.1176500e-01 0.0000000e+00 4.0908600e+00 4.09086 i
8.1568600e-01 0.0000000e+00 4.1826400e+00 4.18264 i
8.1960800e-01 0.0000000e+00 4.2318500e+00 4.23185 i
8.2352900e-01 0.0000000e+00 4.2668800e+00 4.26688 i
8.2745100e-01 0.0000000e+00 4.3019100e+00 4.30191 i
8.3137300e-01 0.0000000e+00 4.2589000e+00 4.2589 i
8.3529400e-01 0.0000000e+00 4.2797400e+00 4.27974 i
8.3921600e-01 0.0000000e+00 4.2722000e+00 4.2722 i
8.4313700e-01 0.0000000e+00 4.3072200e+00 4.30722 i
8.4705900e-01 0.0000000e+00 4.2642200e+00 4.26422 i
8.5098000e-01 0.0000000e+00 4.1786500e+00 4.17865 i
8.5490200e-01 0.0000000e+00 4.2278600e+00 4.22786 i
8.5882400e-01 0.0000000e+00 4.2132300e+00 4.21323 i
8.6274500e-01 0.0000000e+00 4.1489400e+00 4.14894 i
8.6666700e-01 0.0000000e+00 4.1059300e+00 4.10593 i
8.7058800e-01 0.0000000e+00 4.1054900e+00 4.10549 i
8.7451000e-01 0.0000000e+00 4.0979500e+00 4.09795 i
8.7843100e-01 0.0000000e+00 4.1684400e+00 4.16844 i
8.8235300e-01 0.0000000e+00 4.0686800e+00 4.06868 i
8.8627500e-01 0.0000000e+00 4.0327700e+00 4.03277 i
8.9019600e-01 0.0000000e+00 4.0961700e+00 4.09617 i
8.9411800e-01 0.0000000e+00 4.1312000e+00 4.1312 i
8.9803900e-01 0.0000000e+00 4.2016900e+00 4.20169 i
9.0196100e-01 0.0000000e+00 4.1090300e+00 4.10903 i
9.0588200e-01 0.0000000e+00 4.1582400e+00 4.15824 i
9.0980400e-01 0.0000000e+00 4.2571100e+00 4.25711 i
9.1372500e-01 0.0000000e+00 4.0509500e+00 4.05095 i
9.1764700e-01 0.0000000e+00 4.0859700e+00 4.08597 i
9.2156900e-01 0.0000000e+00 4.1422800e+00 4.14228 i
9.2549000e-01 0.0000000e+00 4.1560200e+00 4.15602 i
9.2941200e-01 0.0000000e+00 4.1130100e+00 4.11301 i
9.3333300e-01 0.0000000e+00 4.2473500e+00 4.24735 i
9.3725500e-01 0.0000000e+00 4.2611000e+00 4.2611 i
9.4117600e-01 0.0000000e+00 4.1684300e+00 4.16843 i
9.4509800e-01 0.0000000e+00 4.1112400e+00 4.11124 i
9.4902000e-01 0.0000000e+00 4.2101100e+00 4.21011 i
9.5294100e-01 0.0000000e+00 4.1174400e+00 4.11744 i
9.5686300e-01 0.0000000e+00 4.2376000e+00 4.2376 i
9.6078400e-01 0.0000000e+00 4.1023700e+00 4.10237 i
9.6470600e-01 0.0000000e+00 4.1444900e+00 4.14449 i
9.6862700e-01 0.0000000e+00 4.0305400e+00 4.03054 i
9.7254900e-01 0.0000000e+00 3.9804400e+00 3.98044 i
9.7647100e-01 0.0000000e+00 3.9658100e+00 3.96581 i
9.8039200e-01 0.0000000e+00 4.0434000e+00 4.0434 i
9.8431400e-01 0.0000000e+00 3.9933000e+00 3.9933 i
9.8823500e-01 0.0000000e+00 3.9361000e+00 3.9361 i
9.9215700e-01 0.0000000e+00 4.0491600e+00 4.04916 i
9.9607800e-01 0.0000000e+00 3.9919600e+00 3.99196 i
1.0000000e+00 0.0000000e+00 4.0766500e+00 4.07665 i
0.0000000e+00 3.9220000e-03 4.2111600e+00 4.21116 i
3.9220000e-03 3.9220000e-03 4.3384000e+00 4.3384 i
7.8430000e-03 3.9220000e-03 4.3663400e+00 4.36634 i
1.1765000e-02 3.9220000e-03 4.2807600e+00 4.28076 i
1.5686000e-02 3.9220000e-03 4.2874100e+00 4.28741 i
1.9608000e-02 3.9220000e-03 4.3224400e+00 4.32244 i
2.3529000e-02 3.9220000e-03 4.3078100e+00 4.30781 i
2.7451000e-02 3.9220000e-03 4.2931800e+00 4.29318 i
3.1373000e-02 3.9220000e-03 4.3778600e+00 4.37786 i
3.5294000e-02 3.9220000e-03 4.3064800e+00 4.30648 i
3.9216000e-02 3.9220000e-03 4.2209100e+00 4.22091 i
4.3137000e-02 3.9220000e-03 4.2630300e+00 4.26303 i
4.7059000e-02 3.9220000e-03 4.2767700e+00 4.27677 i
5.0980000e-02 3.9220000e-03 4.2763200e+00 4.27632 i
5.4902000e-02 3.9220000e-03 4.3681000e+00 4.3681 i
5.8824000e-02 3.9220000e-03 4.3250900e+00 4.32509 i
6.2745000e-02 3.9220000e-03 4.2962700e+00 4.29627 i
